applicationNumber,name,surname,FatherOrSpouseName,FatherSpouseIndicator,Gender,MaritalStatus,DOB,Nationality,ResidentialStatus,PAN,UID,CorrespondenceAddressType,CorrespondenceAddressFlatNo,CorrespondenceAddressApartmentName,CorrespondenceAddressStreet,CorrespondenceAddressCityTownVillage,CorrespondenceAddressPin,CorrespondenceAddressState,CorrespondenceAddressCountry,ContactISD,ContactSTD,ContactNo,ContactEmail,GrossAnnualIncome,NetWorth,NetWorthDate,Occupation,PEPIndicator,SpendIndicator,AnnualSpend,AnnualIncome,AnnualTax,Age
85,Erin,Horn,Benjamin Horn,F,F,S,21-May-72,India,Y,CDIPH4371F,162-10-7042,passport,62,reality,94068 Jackson Shore Apt. 700,Austinstad,63488,North Carolina,India,16,269,9618529117,Erin.Horn@yahoo.com,1292049,11628441,10-May-19,Records manager,N,L,133096.1186,931672.83,360376.17,47
86,Kevin,White,Daniel White,F,M,S,19-May-81,India,Y,FEFPW2408T,142-66-1285,aadhaar,64,everyone,520 Spencer Knolls,New Paul,19177,Louisiana,India,95,161,9794831032,Kevin.White@hotmail.com,1466506,5866024,10-May-19,Education administrator,Y,H,349519.6733,1048559.02,417946.98,38
87,Melinda,Sampson,Luis Sampson,S,F,S,18-May-87,India,Y,CCUPS3805G,521-49-5368,aadhaar,12,listen,164 Bates Club Suite 692,East Nicholas,3951,Illinois,India,93,185,9411179556,Melinda.Sampson@yahoo.com,2700547,27005470,10-May-19,Printmaker,N,M,375073.298,1875366.49,825180.51,32
88,Marvin,Vasquez,Adam Vasquez,F,M,S,25-May-58,US,N,,636-58-2220,passport,30,manage,273 Belinda Parkway Apt. 730,North Tonyaside,37731,Montana,US,2,103,9678875220,Marvin.Vasquez@yahoo.com,2505711,27562821,10-May-19,Geophysicist/field seismologist,N,L,290804.395,1744826.37,760884.63,61
89,Sarah,Johnson MD,Paul Johnson MD,F,F,S,29-May-42,India,N,,129-87-1205,passport,31,thus,6156 Juan Vista,Moyerton,92480,Indiana,India,1,233,9646283822,Sarah.Johnson MD@yahoo.com,2645128,29096408,10-May-19,Art therapist,Y,H,919117.88,1838235.76,806892.24,77
90,Tracy,Morris,Daniel Morris,S,F,S,20-May-79,US,N,,895-96-5011,bank statement,84,or,525 Brent Underpass Suite 265,New Mark,68795,Oregon,US,13,266,9107001166,Tracy.Morris@yahoo.com,2010416,16083328,10-May-19,Multimedia specialist,Y,L,201854.1029,1412978.72,597437.28,40
91,Sandra,Mcdonald,Timothy Mcdonald,F,F,M,29-May-40,India,Y,CFEPM1873L,553-96-4965,aadhaar,47,treatment,43692 Summer Throughway Apt. 856,Tinaview,69352,Kentucky,India,23,199,9344558465,Sandra.Mcdonald@gmail.com,3370612,13482448,10-May-19,Scientist- product/process development,N,L,332044.2914,2324310.04,1046301.96,79
92,Gregory,Miller,Ronnie Miller,F,M,M,23-May-67,India,N,,688-45-9377,bank statement,57,left,51422 Marilyn Plain Suite 325,Pittmanborough,91271,Florida,India,26,235,9565726176,Gregory.Miller@yahoo.com,3589727,39486997,10-May-19,Town planner,N,M,617779.2725,2471117.09,1118609.91,52
93,Zachary,Shepherd,Desiree Shepherd,S,M,M,25-May-57,India,Y,FLBPS1383C,344-39-9140,passport,71,nation,564 Jennifer Circles,Jensenfurt,55637,Delaware,India,14,170,9855672797,Zachary.Shepherd@hotmail.com,3311656,29804904,10-May-19,Fitness centre manager,N,M,456961.904,2284809.52,1026846.48,62
94,Jessica,Parker MD,Thomas Parker MD,F,F,S,26-May-53,India,Y,EMDPP4299L,792-54-8436,aadhaar,45,media,0371 Weaver Pine Apt. 254,Edwardsport,47079,Iowa,India,99,133,9449283454,Jessica.Parker MD@gmail.com,1331466,14646126,10-May-19,Learning mentor,N,L,159680.37,958082.22,373383.78,66
95,Jay,Nichols,Michael Nichols,F,M,S,19-May-82,India,Y,FBFPN4857C,755-50-4366,passport,11,on,41449 Harris Brook,West Becky,24028,Utah,India,77,119,9867958904,Jay.Nichols@hotmail.com,624690,6871590,10-May-19,Trade union research officer,N,M,121135.575,484542.3,140147.7,37
96,Brian,Parsons,Jesus Parsons,F,M,S,19-May-82,India,Y,CNGPP0622L,329-21-1358,bank statement,45,crime,766 Sarah Drive,East Christy,22210,Hawaii,India,19,270,9877318088,Brian.Parsons@hotmail.com,4899402,44094618,10-May-19,Lobbyist,N,H,1674299.67,3348599.34,1550802.66,37
97,Wendy,Sullivan,Shawn Sullivan,S,F,M,19-May-82,India,Y,DGYPS3542N,847-21-7671,bank statement,54,fear,665 Joshua Squares Suite 579,South Brianhaven,40329,Connecticut,India,29,197,9883456403,Wendy.Sullivan@yahoo.com,1573491,9440946,10-May-19,Medical physicist,N,M,224047.794,1120238.97,453252.03,37
98,Dana,Benjamin,Michael Benjamin,F,F,S,27-May-50,India,Y,FQMPB5603P,743-23-3530,bank statement,17,industry,238 Aguilar Cliff,Smithtown,38235,Kentucky,India,91,200,9339931019,Dana.Benjamin@yahoo.com,591369,2956845,10-May-19,Geochemist,N,M,115554.3075,462217.23,129151.77,69
99,Jose,Jackson,Michael Jackson,F,M,M,23-May-65,UK,N,,288-06-0620,bank statement,75,sound,425 Mary Loaf Suite 215,Lake Michaelberg,42843,California,UK,72,236,9466713936,Jose.Jackson@hotmail.com,1045058,3135174,10-May-19,Further education lecturer,N,L,127698.1433,766188.86,278869.14,54
100,Michelle,Saunders,Jacob Saunders,F,F,M,19-May-81,India,Y,FOTPS1376Q,847-54-1948,passport,47,back,54913 Megan View Suite 159,Simmonsmouth,69536,Idaho,India,4,240,9687521741,Michelle.Saunders@gmail.com,4200048,42000480,10-May-19,Health and safety inspector,N,H,960010.72,2880032.16,1320015.84,38
